Region,Year,Energy Recovery,Landfill,Recycling,Waste generated,Waste treatment
Albania,2013,32.0,164.0,0.0,325.0,325.0
Albania,2014,15.0,270.0,0.0,425.0,425.0
Albania,2015,20.0,337.0,0.0,491.0,491.0
Albania,2016,21.0,353.0,0.0,452.0,452.0
Albania,2017,15.0,346.0,0.0,436.0,436.0
Albania,2018,22.0,355.0,0.0,462.0,462.0
Albania,2019,4.0,305.0,0.0,381.0,381.0
Albania,2020,4.0,298.0,67.0,369.0,369.0
Albania,2021,6.0,247.0,58.0,311.0,311.0
Albania,2022,13.0,226.0,56.0,295.0,295.0
Albania,2023,14.0,234.0,57.0,306.0,306.0
Austria,1995,54.0,205.0,221.0,437.0,482.0
Austria,1996,54.0,185.0,321.0,516.0,563.0
Austria,1997,56.0,189.0,338.0,532.0,586.0
Austria,1998,55.0,186.0,342.0,532.0,586.0
Austria,1999,57.0,194.0,357.0,563.0,611.0
Austria,2000,65.0,196.0,368.0,580.0,633.0
Austria,2001,65.0,192.0,371.0,576.0,631.0
Austria,2002,66.0,187.0,380.0,608.0,637.0
Austria,2003,73.0,183.0,390.0,607.0,650.0
Austria,2004,169.0,68.0,329.0,574.0,566.0
Austria,2005,159.0,65.0,335.0,575.0,559.0
Austria,2006,173.0,59.0,353.0,597.0,585.0
Austria,2007,175.0,51.0,359.0,597.0,586.0
Austria,2008,163.0,45.0,380.0,600.0,587.0
Austria,2009,173.0,36.0,365.0,590.0,574.0
Austria,2010,196.0,18.0,334.0,562.0,548.0
Austria,2011,200.0,27.0,325.0,573.0,552.0
Austria,2012,201.0,25.0,334.0,579.0,560.0
Austria,2013,202.0,23.0,334.0,578.0,559.0
Austria,2014,205.0,23.0,319.0,565.0,547.0
Austria,2015,212.0,17.0,318.0,560.0,547.0
Austria,2016,212.0,15.0,325.0,564.0,552.0
Austria,2017,221.0,12.0,329.0,570.0,562.0
Austria,2018,224.0,13.0,334.0,579.0,570.0
Austria,2019,226.0,12.0,342.0,588.0,580.0
Austria,2020,299.0,15.0,519.0,834.0,834.0
Austria,2021,296.0,17.0,521.0,835.0,835.0
Austria,2022,284.0,17.0,503.0,803.0,803.0
Austria,2023,277.0,14.0,491.0,782.0,782.0
Belgium,1995,161.0,198.0,87.0,455.0,446.0
Belgium,1996,153.0,169.0,113.0,450.0,435.0
Belgium,1997,175.0,123.0,157.0,457.0,455.0
Belgium,1998,162.0,101.0,189.0,451.0,452.0
Belgium,1999,147.0,91.0,212.0,460.0,451.0
Belgium,2000,158.0,91.0,234.0,471.0,484.0
Belgium,2001,151.0,74.0,235.0,467.0,460.0
Belgium,2002,170.0,56.0,248.0,482.0,474.0
Belgium,2003,174.0,52.0,246.0,465.0,472.0
Belgium,2004,173.0,57.0,260.0,485.0,489.0
Belgium,2005,180.0,56.0,268.0,482.0,504.0
Belgium,2006,169.0,47.0,272.0,485.0,488.0
Belgium,2007,186.0,47.0,280.0,493.0,513.0
Belgium,2008,184.0,19.0,253.0,480.0,456.0
Belgium,2009,176.0,15.0,252.0,467.0,443.0
Belgium,2010,178.0,7.0,250.0,456.0,436.0
Belgium,2011,182.0,4.0,247.0,455.0,433.0
Belgium,2012,184.0,3.0,237.0,445.0,425.0
Belgium,2013,191.0,4.0,230.0,436.0,425.0
Belgium,2014,185.0,4.0,228.0,425.0,418.0
Belgium,2015,182.0,4.0,220.0,412.0,406.0
Belgium,2016,186.0,3.0,224.0,419.0,419.0
Belgium,2017,176.0,4.0,221.0,411.0,407.0
Belgium,2018,177.0,4.0,222.0,409.0,409.0
Belgium,2019,178.0,4.0,227.0,416.0,416.0
Belgium,2020,353.0,2.0,374.0,729.0,729.0
Belgium,2021,332.0,3.0,420.0,755.0,755.0
Belgium,2022,311.0,1.0,377.0,690.0,690.0
Belgium,2023,303.0,1.0,384.0,688.0,688.0
Belgium,2024,305.0,1.0,393.0,699.0,699.0
Bosnia and Herzegovina,2008,0.0,317.0,0.0,356.0,317.0
Bosnia and Herzegovina,2009,0.0,261.0,0.0,354.0,261.0
